,Codigo,Descripcion,Unidad,Costo_Materiales,Costo_Ejecucion,Costo_Total
236,17.22,Tanque de agua polietileno tricapa 1100ls ,u,"$ 362.537,47","$ 37.728,34","$ 400.265,81"
237,17.23,Tanque de agua polietileno tricapa 2750ls ,u,"$ 468.509,96","$ 49.056,69","$ 517.566,65"
238,,"Cloacas, Pluviales y Ventilaciones",,,,
239,,"Incluye materiales, mano de obra y equipos para apertura canaletas/zanjas, corte y pegado/roscado y colocación/montaje cañería, piezas especiales y accesorios, para la instalación completa y reglamentaria ",,,,
240,17.24,Boca de Acceso PVC,u,"$ 55.101,52","$ 14.466,80","$ 69.568,32"
241,17.25,Boca de Desagüe Abierta PVC,u,"$ 28.717,87","$ 21.750,44","$ 50.468,30"
242,17.26,Cámara Inspección HºAº 60x60cm,u,"$ 186.659,66","$ 45.136,10","$ 231.795,76"
243,17.27,"Cañería PVC 3,2 Ø 040mm",m,"$ 4.281,67","$ 4.787,46","$ 9.069,13"
244,17.28,"Cañería PVC 3,2 Ø 050mm",m,"$ 6.741,92","$ 5.165,73","$ 11.907,64"
245,17.29,"Cañería PVC 3,2 Ø 060mm",m,"$ 6.984,09","$ 5.437,61","$ 12.421,70"
246,17.3,"Cañería PVC 3,2 Ø 110mm",m,"$ 11.283,66","$ 6.526,12","$ 17.809,78"
247,17.31,Embudo PVC,u,"$ 17.552,88","$ 21.750,44","$ 39.303,31"
248,17.32,Pileta Patio Abierta PVC,u,"$ 33.665,75","$ 16.854,62","$ 50.520,36"
249,18.0,INSTALACION GAS,,,,
250,,Artefactos,,,,
251,,"Incluye materiales (artefactos, accesorios), mano de obra y equipos para colocación/montaje artefactos, piezas y accesorios, para la instalación completa y reglamentaria. Artefactos aprobados, calidad media.",,,,
252,18.01,Calefactor GN 2000cal,u,"$ 292.212,40","$ 59.925,26","$ 352.137,66"
253,18.02,Calefactor GN 3000cal,u,"$ 324.680,44","$ 63.079,22","$ 387.759,66"
254,18.03,Calefón GN 12ls,u,"$ 317.900,80","$ 64.522,35","$ 382.423,16"
255,18.04,Calefón GN 14ls,u,"$ 354.141,50","$ 65.252,29","$ 419.393,79"
256,18.05,"Cocina GN 4H, H y P",u,"$ 353.187,79","$ 66.985,04","$ 420.172,83"
257,18.06,Termotanque GN 60 ls,u,"$ 430.755,59","$ 66.689,52","$ 497.445,11"
258,18.07,Termotanque GN 110 ls,u,"$ 758.193,42","$ 67.477,58","$ 825.670,99"
260,,Cañerías y Accesorios,,,,
261,,"Incluye materiales, mano de obra y equipos para apertura canaletas/zanjas, corte y pegado/roscado y colocación/montaje cañería, piezas especiales y accesorios, para la instalación completa y reglamentaria",,,,
262,18.08,Cañería EPOXI Ø 013mm,m,"$ 6.390,51","$ 7.979,10","$ 14.369,61"
263,18.09,Cañería EPOXI Ø 019mm,m,"$ 7.810,62","$ 9.062,68","$ 16.873,31"
264,18.1,Cañería EPOXI Ø 025mm,m,"$ 9.230,74","$ 10.156,11","$ 19.386,85"
265,18.11,Cañería EPOXI Ø 050mm,m,"$ 10.650,85","$ 11.407,16","$ 22.058,01"
266,18.12,Llave de paso Ø 13mm,u,"$ 11.981,58","$ 9.737,46","$ 21.719,04"
267,18.13,Llave de paso Ø 19mm,u,"$ 15.336,43","$ 11.441,51","$ 26.777,94"
268,19.0,EQUIPAMIENTO,,,,
269,19.01,Amob.fijo: bajo mesada y alacena (incl. mesada granito),m2,"$ 1.004.071,29","$ 157.096,66","$ 1.161.167,95"
270,19.02,Amob.fijo: bajo mesada y alacena (no incl. mesada),m2,"$ 423.718,08","$ 126.714,17","$ 550.432,25"
271,19.03,Amob.fijo: puertas de placares,m2,"$ 127.701,12","$ 45.719,26","$ 173.420,38"
272,19.04,Amob.fijo: puertas e interiores de placares,m2,"$ 192.126,33","$ 55.315,73","$ 247.442,06"
273,19.05,Matafuegos ABC 10kg,u,"$ 242.441,02","$ 16.519,21","$ 258.960,23"
274,19.06,Matafuegos ABC 5kg,u,"$ 127.012,27","$ 15.487,73","$ 142.500,00"
275,20.0,VARIOS,,,,
276,20.01,Ayuda de gremio ,m2,"$ 0,00","$ 5.154,89","$ 5.154,89"
277,20.02,"Conductos ventilación, incl. sombrerete y reja",m,"$ 25.229,06","$ 92.697,44","$ 117.926,51"
278,20.03,Limpieza periódica y final de obra de obra,m2,"$ 2.460,79","$ 10.070,71","$ 12.531,50"
279,20.04,Parquización (cesped),m2,"$ 4.887,23","$ 5.947,22","$ 10.834,45"
